domain_slug,domain_name,domain_description,domain_sort_order,kc_slug,kc_name,kc_code,kc_description,parent_slug,level,is_active
bacteriologie-pathogenie-staphylocoques,"Bactériologie et Pathogénie des Staphylocoques","Ce domaine couvre les caractéristiques fondamentales des bactéries staphylococciques, leur habitat, et les mécanismes par lesquels elles provoquent des maladies.",0,staph-caracteristiques-bacteriologiques,"Caractériser les staphylocoques sur le plan bactériologique",,"Décrire les caractéristiques morphologiques (cocci en amas), de coloration de Gram, et les principales espèces basées sur le test de la coagulase.",,1,true
bacteriologie-pathogenie-staphylocoques,"Bactériologie et Pathogénie des Staphylocoques","Ce domaine couvre les caractéristiques fondamentales des bactéries staphylococciques, leur habitat, et les mécanismes par lesquels elles provoquent des maladies.",0,staph-habitat-transmission,"Décrire l'habitat et la transmission des staphylocoques",,"Identifier les principaux réservoirs (humain, notamment les fosses nasales) et les modes de transmission (contact direct) des staphylocoques.",,1,true
bacteriologie-pathogenie-staphylocoques,"Bactériologie et Pathogénie des Staphylocoques","Ce domaine couvre les caractéristiques fondamentales des bactéries staphylococciques, leur habitat, et les mécanismes par lesquels elles provoquent des maladies.",0,staph-pathogenie-s-aureus,"Expliquer les facteurs de pathogénie de S. aureus",,"Décrire les mécanismes de virulence de S. aureus, incluant l'adhérence, la production de toxines et d'enzymes, la persistance et la résistance aux antibiotiques.",,1,true
bacteriologie-pathogenie-staphylocoques,"Bactériologie et Pathogénie des Staphylocoques","Ce domaine couvre les caractéristiques fondamentales des bactéries staphylococciques, leur habitat, et les mécanismes par lesquels elles provoquent des maladies.",0,staph-pathogenie-biofilm,"Décrire le rôle du biofilm dans la persistance des infections",,"Expliquer comment la formation de biofilm par les staphylocoques contribue à leur résistance aux antibiotiques et aux défenses immunitaires de l'hôte.",staph-pathogenie-s-aureus,2,true
bacteriologie-pathogenie-staphylocoques,"Bactériologie et Pathogénie des Staphylocoques","Ce domaine couvre les caractéristiques fondamentales des bactéries staphylococciques, leur habitat, et les mécanismes par lesquels elles provoquent des maladies.",0,staph-pathogenie-enzymes-toxines,"Analyser le rôle des enzymes et toxines dans la virulence",,"Identifier les principales enzymes (coagulase, fibrinolysine) et toxines (LPV, TSST-1, exfoliatines, entérotoxines) et leur rôle dans les manifestations cliniques.",staph-pathogenie-s-aureus,2,true
bacteriologie-pathogenie-staphylocoques,"Bactériologie et Pathogénie des Staphylocoques","Ce domaine couvre les caractéristiques fondamentales des bactéries staphylococciques, leur habitat, et les mécanismes par lesquels elles provoquent des maladies.",0,staph-resistance-meticilline,"Distinguer la résistance à la méticilline communautaire et hospitalière (SARM)",,"Différencier le S. aureus sensible à la méticilline (SASM) du S. aureus résistant à la méticilline (SARM), en contexte communautaire et nosocomial.",staph-pathogenie-s-aureus,2,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-bacteriemies,"Gérer les bactériémies staphylococciques et leurs complications",,"Reconnaître la forme septicopyohémique d'une bactériémie à S. aureus, identifier la porte d'entrée et rechercher les métastases septiques à distance.",,1,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-endocardite,"Diagnostiquer une endocardite à S. aureus",,"Identifier les facteurs de risque, les signes cliniques et l'importance de l'échographie cardiaque dans le diagnostic de l'endocardite infectieuse à S. aureus.",,1,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-infections-cutanees,"Diagnostiquer les infections cutanées et des parties molles",,"Identifier les différentes formes d'infections cutanées staphylococciques, de l'impétigo superficiel à la cellulite profonde.",,1,true
manifestations-cliniques-s-aureus,"Manifestations Cliniques des Infections à S. aureus","Ce domaine détaille les diverses pathologies causées par Staphylococcus aureus, des infections cutanées localisées aux atteintes systémiques graves.",1,s-aureus-infections-osteoarticulaires,"Gérer les infections ostéoarticulaires (IOA) staphylococciques",,"Reconnaître les modes de contamination (hématogène, inoculation, contiguïté) et les principales formes cliniques des IOA à S. aureus.",,1,true
